33;44;NAME
61;79;LOC
82;87;LOC
91;100;DATE
258;285;ORG
330;341;NAME
347;353;AGE
410;419;DATE
790;793;YEAR
832;835;YEAR
865;871;DATE
935;940;DATE
1025;1031;DATE
1079;1085;DATE
1895;1901;DATE
2160;2165;NAME
2173;2179;NAME
2357;2362;DATE
3152;3159;DATE
3209;3216;DATE
3268;3275;DATE
3312;3319;DATE
4149;4156;DATE
5425;5432;DATE
5503;5510;DATE
5638;5646;NAME
5946;5953;DATE
6455;6461;DATE
6513;6519;DATE
7551;7560;DATE
7564;7572;DATE
7574;7580;DATE
9054;9063;DATE
9088;9095;DATE
9679;9687;LOC
9928;9936;LOC
