,entity,precision,recall,f1,score_type
0,TEL,0.0,0.0,0.0,strict
1,NAME,0.3507575757575757,0.5166666666666666,0.41469893742621017,strict
2,ORG,0.25,0.5,0.3333333333333333,strict
3,LOC,1.0,0.4633333333333334,0.6285714285714286,strict
4,DATE,0.0,0.0,0.0,strict
5,AGE,0.0,0.0,0.0,strict
6,TEL,0.0,0.0,0.0,lenient
7,NAME,0.7287878787878787,1.0,0.8359241768332677,lenient
8,ORG,0.5,1.0,0.6666666666666666,lenient
9,LOC,1.0,0.4633333333333334,0.6285714285714286,lenient
10,DATE,0.0,0.0,0.0,lenient
11,AGE,0.6733333333333333,1.0,0.7738095238095238,lenient
