,entity,precision,recall,f1,score_type
0,TEL,0.0,0.0,0.0,strict
1,NAME,0.20188283938283938,0.6651515151515152,0.30034965034965033,strict
2,ORG,0.0,0.0,0.0,strict
3,LOC,0.05745735123094555,0.42333333333333334,0.10085750388032941,strict
4,DATE,0.0,0.0,0.0,strict
5,AGE,0.0,0.0,0.0,strict
6,TEL,0.0,0.0,0.0,lenient
7,NAME,0.2877414252414252,0.8318181818181819,0.4113053613053613,lenient
8,ORG,0.0,0.0,0.0,lenient
9,LOC,0.08154321634622243,0.595,0.14298429937900284,lenient
10,DATE,0.0,0.0,0.0,lenient
11,AGE,0.0,0.0,0.0,lenient
