,entity,precision,recall,f1,score_type
0,TEL,0.0,0.0,0.0,strict
1,NAME,0.49058441558441557,0.7666666666666667,0.586592700229064,strict
2,ORG,0.0,0.0,0.0,strict
3,LOC,0.845,0.7116666666666666,0.7579165279165279,strict
4,DATE,0.0,0.0,0.0,strict
5,AGE,0.0,0.0,0.0,strict
6,TEL,0.0,0.0,0.0,lenient
7,NAME,0.5793290043290042,0.9242424242424242,0.6990812218084945,lenient
8,ORG,0.04423076923076923,0.5,0.08116883116883117,lenient
9,LOC,0.8649999999999999,0.7283333333333333,0.776098346098346,lenient
10,DATE,0.0,0.0,0.0,lenient
11,AGE,0.0,0.0,0.0,lenient
