,entity,precision,recall,f1,score_type
0,TEL,1.0,1.0,1.0,strict
1,NAME,0.3507575757575757,0.5166666666666666,0.41469893742621017,strict
2,ORG,0.25,0.5,0.3333333333333333,strict
3,LOC,0.845,0.7116666666666666,0.7579165279165279,strict
4,DATE,0.6895856970260139,0.9059675159547282,0.7590994711909026,strict
5,AGE,0.85,1.0,0.9,strict
6,TEL,1.0,1.0,1.0,lenient
7,NAME,0.7287878787878787,1.0,0.8359241768332677,lenient
8,ORG,0.5,1.0,0.6666666666666666,lenient
9,LOC,0.8649999999999999,0.7283333333333333,0.776098346098346,lenient
10,DATE,0.699953607631116,0.9194624992323203,0.7708178194012641,lenient
11,AGE,0.85,1.0,0.9,lenient
