,entity,precision,recall,f1,score_type
0,NAME,0.0,0.0,0.0,strict
1,ORG,0.0,0.0,0.0,strict
2,LOC,0.0,0.0,0.0,strict
3,DATE,0.0,0.0,0.0,strict
4,AGE,0.8639455782312924,0.9353741496598639,0.8877551020408163,strict
5,NAME,0.9378773448773449,0.9802521367521366,0.9538673595544971,lenient
6,ORG,0.991,0.9003333333333334,0.9325310245310244,lenient
7,LOC,0.8299019607843138,0.9401960784313727,0.8593137254901961,lenient
8,DATE,0.0,0.0,0.0,lenient
9,AGE,0.9047619047619047,0.976190476190476,0.9285714285714286,lenient
